Timestamp (24H),Class,Confidence,Number of Detections
00:00:00,car,0.81,4
00:00:00,car,0.78,4
00:00:00,truck,0.44,4
00:00:00,car,0.39,4
00:00:00,car,0.79,7
00:00:00,car,0.77,7
00:00:00,truck,0.33,7
00:00:00,car,0.33,7
00:00:00,car,0.31,7
00:00:00,car,0.31,7
00:00:00,car,0.3,7
00:00:00,car,0.81,6
00:00:00,car,0.77,6
00:00:00,car,0.49,6
00:00:00,car,0.41,6
00:00:00,motorcycle,0.41,6
00:00:00,car,0.37,6
00:00:00,car,0.83,9
00:00:00,car,0.7,9
00:00:00,truck,0.46,9
00:00:00,car,0.42,9
00:00:00,motorcycle,0.37,9
00:00:00,car,0.34,9
00:00:00,car,0.32,9
00:00:00,person,0.32,9
00:00:00,person,0.31,9
00:00:00,car,0.83,8
00:00:00,car,0.76,8
00:00:00,motorcycle,0.49,8
00:00:00,car,0.46,8
00:00:00,car,0.4,8
00:00:00,person,0.38,8
00:00:00,car,0.36,8
00:00:00,truck,0.31,8
00:00:00,car,0.83,8
00:00:00,car,0.71,8
00:00:00,car,0.53,8
00:00:00,car,0.38,8
00:00:00,motorcycle,0.34,8
00:00:00,person,0.34,8
00:00:00,person,0.32,8
00:00:00,car,0.31,8
00:00:00,car,0.82,5
00:00:00,car,0.73,5
00:00:00,car,0.59,5
00:00:00,car,0.39,5
00:00:00,car,0.37,5
00:00:00,car,0.78,4
00:00:00,car,0.72,4
00:00:00,car,0.51,4
00:00:00,car,0.34,4
00:00:00,car,0.78,5
00:00:00,car,0.69,5
00:00:00,car,0.43,5
00:00:00,person,0.36,5
00:00:00,car,0.31,5
00:00:00,car,0.81,3
00:00:00,car,0.6,3
00:00:00,car,0.59,3
00:00:00,car,0.82,5
00:00:00,car,0.68,5
00:00:00,person,0.37,5
00:00:00,car,0.34,5
00:00:00,car,0.32,5
00:00:00,car,0.8,3
00:00:00,car,0.67,3
00:00:00,car,0.33,3
00:00:00,car,0.82,3
00:00:00,car,0.75,3
00:00:00,person,0.3,3
00:00:00,car,0.79,4
00:00:00,car,0.59,4
00:00:00,car,0.4,4
00:00:00,person,0.34,4
00:00:00,car,0.8,2
00:00:00,car,0.5,2
00:00:00,car,0.74,3
00:00:00,car,0.54,3
00:00:00,person,0.42,3
00:00:00,car,0.73,3
00:00:00,car,0.45,3
00:00:00,car,0.3,3
00:00:00,car,0.75,2
00:00:00,car,0.44,2
00:00:00,car,0.75,3
00:00:00,car,0.37,3
00:00:00,person,0.33,3
00:00:00,car,0.79,2
00:00:00,car,0.58,2
00:00:00,car,0.78,5
00:00:00,car,0.6,5
00:00:00,person,0.36,5
00:00:00,car,0.34,5
00:00:00,car,0.3,5
00:00:00,car,0.77,4
00:00:00,car,0.59,4
00:00:00,car,0.4,4
00:00:00,car,0.36,4
00:00:00,car,0.81,3
